t,power_W,seed,backend,seq_len,batch_id
509.29641512,67.921,11,mem_efficient,512,0
509.33951446,68.845,11,mem_efficient,512,0
509.382700747,68.845,11,mem_efficient,512,0
509.425934294,68.652,11,mem_efficient,512,0
509.469166178,68.652,11,mem_efficient,512,0
509.513965498,64.383,11,mem_efficient,512,0
509.717962497,40.699,11,mem_efficient,512,1
509.76091667,40.699,11,mem_efficient,512,1
509.808563824,67.492,11,mem_efficient,512,1
509.851877494,67.492,11,mem_efficient,512,1
509.89504723,67.492,11,mem_efficient,512,1
509.944143043,69.575,11,mem_efficient,512,1
509.987605528,69.575,11,mem_efficient,512,1
510.030723013,68.072,11,mem_efficient,512,1
510.073790984,68.072,11,mem_efficient,512,1
510.118087633,71.128,11,mem_efficient,512,1
510.166439544,71.128,11,mem_efficient,512,1
510.216294349,72.569,11,mem_efficient,512,1
510.265438936,72.569,11,mem_efficient,512,1
510.311594068,72.569,11,mem_efficient,512,1
510.354878132,69.329,11,mem_efficient,512,1
510.398150002,69.329,11,mem_efficient,512,1
510.441422343,69.039,11,mem_efficient,512,1
510.484544788,69.039,11,mem_efficient,512,1
510.557283818,32.871,11,mem_efficient,512,2
