seed,backend,seq_len,batch_id,batch_size,tokens,time_s,tokens_per_s,energy_j,energy_per_1k_tokens,mean_power_w,vram_peak_gb,loss,ppl
11,math,512,5,21,10752,0.7457829059999881,14417.06415298311,29.63169769294268,2.755924264596603,41.09287904252609,14.638671875,3.2107675075531006,24.798111660572967
11,math,512,6,21,10752,0.7459441759999663,14413.94724422446,26.727019521807435,2.4857719049300067,37.05317316017315,14.638671875,3.319300889968872,27.64101968796687
11,math,512,7,21,10752,0.739727189000007,14535.088286446502,33.444612231594725,3.1105480126111162,46.83205551311433,14.638671875,3.624535083770752,37.5072813616077
11,math,512,8,21,10752,0.74760631099997,14381.901064503496,30.87695538647943,2.871740642343697,43.25229080723198,14.638671875,3.723695993423462,41.41718922880263
11,math,512,9,21,10752,0.748967897,14355.755491079479,26.62181318142641,2.475987089046355,37.10164374840844,14.638671875,3.560335159301758,35.17498439290187
11,math,512,10,21,10752,0.7442695979999598,14446.378071727417,31.07456259483062,2.8901192889537404,43.984761395467274,14.638671875,3.504603624343872,33.2682545123992
11,math,512,11,21,10752,0.7533397969999669,14272.443912850224,32.46376970906796,3.019323819667779,44.07999668958491,14.638671875,3.5340542793273926,34.26259654153047
11,math,512,12,21,10752,0.753317514999992,14272.866070291906,27.523541153142652,2.5598531578443686,38.118231983702564,14.638671875,3.270962953567505,26.336688144252708
11,math,512,13,21,10752,0.7384173039999951,14560.87220837944,31.894790598867292,2.9664053756386988,44.20254816017315,14.638671875,3.5664539337158203,35.39087199763817
11,math,512,14,21,10752,0.7468616819999738,14396.239972049305,31.513673453926465,2.9309592126047677,44.32493786605551,14.638671875,3.5058555603027344,33.30993031878882
11,math,512,15,21,10752,0.7458074959999976,14416.588808327067,28.175074295692266,2.62044961827495,39.14623198370256,14.638671875,3.4170143604278564,30.47828187892088
11,math,512,16,21,10752,0.7532452290000151,14274.235781451971,30.90712157013636,2.8745462769844083,43.3429378660555,14.638671875,3.8190653324127197,45.561603459280896
11,math,512,17,21,10752,0.7508879590000106,14319.047031089558,31.896842936007644,2.966596255209044,44.92446727782021,14.638671875,3.7523508071899414,42.62115844948338
11,math,512,18,21,10752,0.7476436409999678,14381.182973240138,27.05933288404716,2.5166790256740286,37.72117316017316,14.638671875,3.483201026916504,32.56379299797815
11,math,512,19,21,10752,0.7537392090000026,14264.880838910907,31.61613149265623,2.9404884200759143,44.21246727782021,14.638671875,3.5193846225738525,33.763644684807716
11,mem_efficient,512,0,21,10752,0.7501304230000301,14333.507441278074,30.17090994464398,2.8060742136015606,42.33134963076139,14.638671875,3.68119740486145,39.693895290993474
11,mem_efficient,512,1,21,10752,0.7576920610000002,14190.461472975625,30.397168308915212,2.827117588254763,41.475643748408444,14.638671875,3.5949149131774902,36.412601623494474
11,mem_efficient,512,2,21,10752,0.7536329960000216,14266.891254851176,32.68935445698267,3.0403045439902034,45.77864374840845,14.638671875,3.703113317489624,40.5734258864447
11,mem_efficient,512,3,21,10752,0.7540965800000095,14258.120624283782,30.697588629316517,2.855058466268277,42.758408454290795,14.638671875,3.5724477767944336,35.60363633183995
11,mem_efficient,512,4,21,10752,0.7558228180000128,14225.556233471398,29.144916090967474,2.7106506781033737,38.877006493506485,14.638671875,3.7888805866241455,44.20688678774816
11,mem_efficient,512,5,21,10752,0.7482955649999781,14368.653915515742,28.279461602447668,2.630158259156219,39.015349630761385,14.638671875,3.2107675075531006,24.798111660572967
11,mem_efficient,512,6,21,10752,0.7558274860000438,14225.468376257722,31.357334296838786,2.9164187404053927,44.02117316017315,14.638671875,3.319300889968872,27.64101968796687
11,mem_efficient,512,7,21,10752,0.7595716659999994,14155.346336997263,32.88690944392762,3.058678333698625,45.551879042526096,14.638671875,3.624535083770752,37.5072813616077
11,mem_efficient,512,8,21,10752,0.7581961939999928,14181.026078851699,31.171228949796358,2.899109835360524,40.75867316017316,14.638671875,3.723695993423462,41.41718922880263
11,mem_efficient,512,9,21,10752,0.7527007449999701,14284.56138966679,29.037759538907224,2.7006844809251507,39.79146727782021,14.638671875,3.560335159301758,35.17498439290187
11,mem_efficient,512,10,21,10752,0.7589551489999735,14166.845055557262,28.258228843149595,2.628183486156026,39.06346727782021,14.638671875,3.504603624343872,33.2682545123992
11,mem_efficient,512,11,21,10752,0.7562775769999917,14217.00223170853,33.05660704924866,3.0744612210982756,43.67895093795093,14.638671875,3.5340542793273926,34.26259654153047
11,mem_efficient,512,12,21,10752,0.7568914899999868,14205.470852896216,31.737418460723497,2.9517688300524085,41.957950937950926,14.638671875,3.270962953567505,26.336688144252708
11,mem_efficient,512,13,21,10752,0.7653230150000354,14048.96989802339,26.76978625360827,2.4897494655513643,36.76458492487904,14.638671875,3.5664539337158203,35.39087199763817
11,mem_efficient,512,14,21,10752,0.7575863899999717,14192.440811932222,32.939971591752794,3.0636134292924844,43.52478427128426,14.638671875,3.5058555603027344,33.30993031878882
11,mem_efficient,512,15,21,10752,0.7625107229999912,14100.785307907236,31.428642019973466,2.923050783107651,41.31122871572872,14.638671875,3.4170143604278564,30.47828187892088
11,mem_efficient,512,16,21,10752,0.7471264950000318,14391.137340136147,28.747837059827955,2.673719964641737,39.369506493506485,14.638671875,3.8190653324127197,45.561603459280896
11,mem_efficient,512,17,21,10752,0.7637254349999694,14078.357885252874,34.64394127306657,3.22209275233134,45.3006176046176,14.638671875,3.7523508071899414,42.62115844948338
11,mem_efficient,512,18,21,10752,0.7567716589999804,14207.720218021905,34.08413827444809,3.170027741299115,44.971784271284264,14.638671875,3.483201026916504,32.56379299797815
11,mem_efficient,512,19,21,10752,0.7651758639999571,14051.671655969278,32.2416639169567,2.9986666589431454,42.22583982683981,14.638671875,3.5193846225738525,33.763644684807716
13,eafa,512,0,21,10752,0.763222552000002,14087.63403521647,32.60313730441765,3.03228583560432,42.92628427128427,14.638671875,3.68119740486145,39.693895290993474
13,eafa,512,1,21,10752,0.7654169679999541,14047.245422446194,34.93197311026784,3.2488814276662796,44.89495093795093,14.638671875,3.5949149131774902,36.412601623494474
13,eafa,512,2,21,10752,0.760148662000006,14144.601625306703,28.526245147627105,2.65311059780758,36.98917316017315,14.638671875,3.703113317489624,40.5734258864447
13,eafa,512,3,21,10752,0.7593279019999954,14159.890571227903,29.941684509039383,2.7847548836532163,38.76017316017315,14.638671875,3.5724477767944336,35.60363633183995
13,eafa,512,4,21,10752,0.768868585000007,13984.18430634658,30.178533240298506,2.806783225474191,38.89361760461759,14.638671875,3.7888805866241455,44.20688678774816
13,eafa,512,5,21,10752,0.7703635539999709,13957.04657128731,31.74276980076682,2.952266536529652,40.22267316017316,14.638671875,3.2107675075531006,24.798111660572967
13,eafa,512,6,21,10752,0.7710219209999991,13945.12880522889,33.61670746242775,3.1265538934549615,43.39922871572871,14.638671875,3.319300889968872,27.64101968796687
13,eafa,512,7,21,10752,0.7708023690000232,13949.100875168271,32.39668816382469,3.0130848366652425,42.35083982683982,14.638671875,3.624535083770752,37.5072813616077
13,eafa,512,8,21,10752,0.7696583129999794,13969.835469054808,29.723551211593474,2.764467188578262,38.302839826839815,14.638671875,3.723695993423462,41.41718922880263
13,eafa,512,9,21,10752,0.7706108689999951,13952.567284643463,30.49038682416673,2.835787465045269,39.316950937950935,14.638671875,3.560335159301758,35.17498439290187
13,eafa,512,10,21,10752,0.7734870439999781,13900.685322920941,32.09095163190301,2.9846495193362172,40.909173160173154,14.638671875,3.504603624343872,33.2682545123992
13,eafa,512,11,21,10752,0.7733932639999921,13902.370890057442,33.77666733837128,3.141431114059829,43.82072871572871,14.638671875,3.5340542793273926,34.26259654153047
13,eafa,512,12,21,10752,0.7763578889999962,13849.282853104429,31.7075001832797,2.94898625216515,41.365006493506485,14.638671875,3.270962953567505,26.336688144252708
13,eafa,512,13,21,10752,0.7744287510000163,13883.782060152069,29.628163213214503,2.755595536943313,38.06789538239538,14.638671875,3.5664539337158203,35.39087199763817
13,eafa,512,14,21,10752,0.7703333439999938,13957.593921833517,30.853851328896184,2.8695918274643026,39.583284271284256,14.638671875,3.5058555603027344,33.30993031878882
13,eafa,512,15,21,10752,0.7686802470000202,13987.610637794516,35.891454470632446,3.3381189053787614,45.68267316017315,14.638671875,3.4170143604278564,30.47828187892088
13,eafa,512,16,21,10752,0.7747640559999809,13877.773390148426,34.76145042499139,3.233021802919586,44.94750649350649,14.638671875,3.8190653324127197,45.561603459280896
13,eafa,512,17,21,10752,0.7718519649999962,13930.132314944683,30.520383829193598,2.8385773650663686,40.15595093795092,14.638671875,3.7523508071899414,42.62115844948338
13,eafa,512,18,21,10752,0.7743868449999809,13884.533382020798,30.20345629597908,2.8091012180040065,38.79611760461759,14.638671875,3.483201026916504,32.56379299797815
13,eafa,512,19,21,10752,0.7721769959999847,13924.268730740863,31.477522810047127,2.9275969875415853,40.343228715728706,14.638671875,3.5193846225738525,33.763644684807716
13,math,512,0,21,10752,0.7748756839999942,13875.774168698887,31.681841003564895,2.946599795718461,41.04672871572871,14.638671875,3.68119740486145,39.693895290993474
13,math,512,1,21,10752,0.7763133240000002,13850.077884274466,37.28037555059379,3.467296833202547,47.63205551311433,14.638671875,3.5949149131774902,36.412601623494474
13,math,512,2,21,10752,0.7748391119999951,13876.42909796746,32.09890215088906,2.985388964926438,41.86361760461759,14.638671875,3.703113317489624,40.5734258864447
13,math,512,3,21,10752,0.7740319879999902,13890.898782855129,30.21686868831496,2.810348650326912,38.57606204906204,14.638671875,3.5724477767944336,35.60363633183995
13,math,512,4,21,10752,0.7758447209999986,13858.44320257999,31.09337500643363,2.8918689552114607,39.743228715728705,14.638671875,3.7888805866241455,44.20688678774816
13,math,512,5,21,10752,0.7660569390000092,14035.510224651684,36.82911563639473,3.425326975111117,47.48039538239538,14.638671875,3.2107675075531006,24.798111660572967
13,math,512,6,21,10752,0.7671343240000397,14015.798359713915,35.198656760296295,3.2736845945216047,46.09167316017316,14.638671875,3.319300889968872,27.64101968796687
13,math,512,7,21,10752,0.7680837240000074,13998.47394761342,28.264453139366083,2.628762382753542,36.42717316017316,14.638671875,3.624535083770752,37.5072813616077
13,math,512,8,21,10752,0.7701443049999739,13961.019941581422,30.306691704029227,2.8187027254491466,38.88467316017315,14.638671875,3.723695993423462,41.41718922880263
13,math,512,9,21,10752,0.769535081000015,13972.072574037455,31.379095331027326,2.9184426461148925,40.1837287157287,14.638671875,3.560335159301758,35.17498439290187
13,math,512,10,21,10752,0.7755042850000109,13864.526873632747,35.68128855828817,3.318572224543171,45.54150649350649,14.638671875,3.504603624343872,33.2682545123992
13,math,512,11,21,10752,0.7685795389999726,13989.443453035228,35.10168292153721,3.264665450291779,45.908006493506484,14.638671875,3.5340542793273926,34.26259654153047
13,math,512,12,21,10752,0.7716141540000194,13934.425573017326,28.518600561132093,2.652399605760053,36.772839826839814,14.638671875,3.270962953567505,26.336688144252708
13,math,512,13,21,10752,0.7804523359999962,13776.626071883591,30.449023096904234,2.831940392197194,38.703895382395366,14.638671875,3.5664539337158203,35.39087199763817
13,math,512,14,21,10752,0.7761936520000177,13852.213261852025,32.273880702272216,3.0016630117440677,41.52806204906204,14.638671875,3.5058555603027344,33.30993031878882
13,math,512,15,21,10752,0.7811977909999541,13763.479779221023,34.12722378157592,3.1740349499233558,44.17222871572871,14.638671875,3.4170143604278564,30.47828187892088
13,math,512,16,21,10752,0.7805161489999932,13775.49973024337,30.594672675303432,2.8454866699500956,39.702284271284256,14.638671875,3.8190653324127197,45.561603459280896
13,math,512,17,21,10752,0.7710573350000232,13944.488317460435,30.833357780755417,2.8676858055018055,39.52578427128426,14.638671875,3.7523508071899414,42.62115844948338
13,math,512,18,21,10752,0.7728821210000092,13911.565176444123,32.44133453352934,3.0172372147999758,41.50506204906205,14.638671875,3.483201026916504,32.56379299797815
13,math,512,19,21,10752,0.7741186540000058,13889.343635426618,35.9399682045501,3.342630971405329,46.63000649350648,14.638671875,3.5193846225738525,33.763644684807716
13,mem_efficient,512,0,21,10752,0.7785219289999645,13810.78631119778,33.718283970306985,3.1360011133098014,43.637173160173155,14.638671875,3.68119740486145,39.693895290993474
13,mem_efficient,512,1,21,10752,0.7857119500000067,13684.404316365442,31.148643201656995,2.8970092263445864,39.66256204906204,14.638671875,3.5949149131774902,36.412601623494474
13,mem_efficient,512,2,21,10752,0.77842498199999,13812.506341169994,32.187416365497775,2.9936213137553733,41.50317316017314,14.638671875,3.703113317489624,40.5734258864447
13,mem_efficient,512,3,21,10752,0.786063592000005,13678.282659858813,35.00397820574739,3.255578330147636,45.09033982683982,14.638671875,3.5724477767944336,35.60363633183995
13,mem_efficient,512,4,21,10752,0.7815051190000304,13758.067271213335,28.27924314551409,2.6301379413610575,36.351617604617594,14.638671875,3.7888805866241455,44.20688678774816
13,mem_efficient,512,5,21,10752,0.7835710850000055,13721.792707549852,31.07743304779618,2.890386258165567,39.49089538239538,14.638671875,3.2107675075531006,24.798111660572967
13,mem_efficient,512,6,21,10752,0.7832068050000203,13728.174897560704,35.56306411172476,3.30757664729583,45.66156204906204,14.638671875,3.319300889968872,27.64101968796687
13,mem_efficient,512,7,21,10752,0.778765237000016,13806.47143601221,31.96345118275657,2.9727912186343537,41.61689538239538,14.638671875,3.624535083770752,37.5072813616077
13,mem_efficient,512,8,21,10752,0.7849941759999979,13696.916905533868,29.611407852277672,2.7540371886418966,37.99895093795093,14.638671875,3.723695993423462,41.41718922880263
13,mem_efficient,512,9,21,10752,0.7815123050000352,13757.940765884057,33.20346881626199,3.0881202396076994,42.71517316017315,14.638671875,3.560335159301758,35.17498439290187
13,mem_efficient,512,10,21,10752,0.7858434120000197,13682.115082743392,34.36566534458913,3.1962114345786024,44.3081176046176,14.638671875,3.504603624343872,33.2682545123992
13,mem_efficient,512,11,21,10752,0.7827027619999853,13737.01553387415,30.808699713192468,2.86539245844424,39.25767316017315,14.638671875,3.5340542793273926,34.26259654153047
13,mem_efficient,512,12,21,10752,0.7890371130000062,13626.735451162378,32.786252793701,3.049316666080822,41.2507287157287,14.638671875,3.270962953567505,26.336688144252708
13,mem_efficient,512,13,21,10752,0.781236879000005,13762.791144425646,34.58847021568264,3.2169336138097693,44.79589538239537,14.638671875,3.5664539337158203,35.39087199763817
13,mem_efficient,512,14,21,10752,0.7858004380000239,13682.86333278892,28.92167075031097,2.689887532581005,36.96728427128427,14.638671875,3.5058555603027344,33.30993031878882
13,mem_efficient,512,15,21,10752,0.7846164380000005,13703.51101412942,31.449585939765484,2.924998692314498,39.68106204906204,14.638671875,3.4170143604278564,30.47828187892088
13,mem_efficient,512,16,21,10752,0.7852986419999866,13691.606511144564,34.585130187981775,3.2166229713524714,44.77467316017315,14.638671875,3.8190653324127197,45.561603459280896
13,mem_efficient,512,17,21,10752,0.7836370119999856,13720.638299815524,29.66189682460821,2.758732963598234,38.70217316017315,14.638671875,3.7523508071899414,42.62115844948338
13,mem_efficient,512,18,21,10752,0.7897930020000103,13613.693680207944,30.044966328960655,2.7943607076786323,38.4307287157287,14.638671875,3.483201026916504,32.56379299797815
13,mem_efficient,512,19,21,10752,0.7868726359999982,13664.218970247714,35.35796345640349,3.2885010655137172,45.73161760461759,14.638671875,3.5193846225738525,33.763644684807716
11,eafa,1024,0,11,11264,0.8734756249999691,12895.60884998983,37.708304182710926,3.347683254857149,44.14412316017315,14.544921875,8.829407691955566,6832.2388268945315
11,eafa,1024,1,11,11264,0.8840603389999728,12741.211773781819,33.43343021115115,2.968166744597936,36.87917316017315,14.544921875,8.936184883117676,7602.138612851298
11,eafa,1024,2,11,11264,0.8793371479999905,12809.648751470831,34.00800798910892,3.0191768456240164,39.23092316017315,14.544921875,8.678874969482422,5877.430581658278
11,eafa,1024,3,11,11264,0.8773590799999624,12838.529009126438,35.08673462959314,3.1149444806101863,40.61667316017315,14.544921875,8.815499305725098,6737.871182520829
11,eafa,1024,4,11,11264,0.8830133949999777,12756.318379519356,36.71129040522421,3.259169957850161,42.89557316017316,14.544921875,8.712523460388184,6078.562161443651
11,eafa,1024,5,11,11264,0.8805712989999961,12791.695587616523,36.85790048994098,3.2721857679279993,42.29482316017315,14.544921875,9.194055557250977,9838.470660151888
11,eafa,1024,6,11,11264,0.8822236089999933,12767.738116607221,35.99582003533674,3.1956516366598673,42.16417316017316,14.544921875,8.811690330505371,6712.255613656259
11,eafa,1024,7,11,11264,0.8778837659999681,12830.855787804156,31.21193541102306,2.770945970438837,36.14212316017315,14.544921875,8.700091361999512,6003.460680378046
11,eafa,1024,8,11,11264,0.8794267500000501,12808.343617020244,34.305127278369554,3.045554623434797,39.27657316017316,14.544921875,8.736506462097168,6226.106534592755
11,eafa,1024,9,11,11264,0.8815678249999905,12777.235829812778,35.87129985936734,3.1845969335375837,41.23412316017316,14.544921875,9.196039199829102,9858.006038655578
11,eafa,1024,10,11,11264,0.8812905109999747,12781.256418180501,39.67161720008452,3.5219830610870493,46.08067316017315,14.544921875,9.006237030029297,8153.781040724809
11,eafa,1024,11,11,11264,0.8705755679999925,12938.566638019984,38.280912716714354,3.398518529537851,45.01743631806788,14.544921875,8.919659614562988,7477.543549527131
11,eafa,1024,12,11,11264,0.8812894190000407,12781.272255351429,35.52064882384371,3.1534666924577155,41.729423160173155,14.544921875,8.727028846740723,6167.376640978445
